Timestamp,NodeID,Event,Details
12.700000,6,Sent Packet,"Packet: 8, Message: Temp: 20.4 C, Hum: 58%, Send Result: 22, Length: 22"
12.700000,8,Sent Packet,"Packet: 9, Message: Temp: 22.2 C, Hum: 68%, Send Result: 22, Length: 22"
12.703872,10,Received Packet,"Size: 22"
12.703872,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
12.708512,6,Received Packet,"Size: 3"
12.714304,10,Received Packet,"Size: 22"
12.714304,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
12.718304,8,Received Packet,"Size: 3"
13.100000,7,Sent Packet,"Packet: 7, Message: Temp: 29.9 C, Hum: 53%, Send Result: 22, Length: 22"
13.103872,10,Received Packet,"Size: 22"
13.103872,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
13.108192,7,Received Packet,"Size: 3"
13.200000,5,Sent Packet,"Packet: 9, Message: Temp: 26.8 C, Hum: 60%, Send Result: 22, Length: 22"
13.202912,10,Received Packet,"Size: 22"
13.202912,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
13.205952,5,Received Packet,"Size: 3"
13.500000,9,Sent Packet,"Packet: 8, Message: Temp: 22.2 C, Hum: 61%, Send Result: 22, Length: 22"
13.500000,1,Sent Packet,"Packet: 7, Message: Temp: 20.5 C, Hum: 51%, Send Result: 22, Length: 22"
13.502912,10,Received Packet,"Size: 22"
13.502912,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
13.506272,9,Received Packet,"Size: 3"
13.513408,10,Received Packet,"Size: 22"
13.513408,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
13.518368,1,Received Packet,"Size: 3"
13.600000,2,Sent Packet,"Packet: 7, Message: Temp: 23.0 C, Hum: 78%, Send Result: 22, Length: 22"
13.603232,10,Received Packet,"Size: 22"
13.603232,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
13.608192,2,Received Packet,"Size: 3"
14.100000,1,Sent Packet,"Packet: 8, Message: Temp: 22.0 C, Hum: 76%, Send Result: 22, Length: 22"
14.105152,10,Received Packet,"Size: 22"
14.105152,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
14.109152,1,Received Packet,"Size: 3"
14.200000,3,Sent Packet,"Packet: 7, Message: Temp: 22.6 C, Hum: 62%, Send Result: 22, Length: 22"
14.200000,7,Sent Packet,"Packet: 8, Message: Temp: 20.8 C, Hum: 66%, Send Result: 22, Length: 22"
14.203232,10,Received Packet,"Size: 22"
14.203232,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
14.207520,10,Received Packet,"Size: 22"
14.207520,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
14.211840,3,Received Packet,"Size: 3"
14.216608,7,Received Packet,"Size: 3"
14.300000,0,Sent Packet,"Packet: 8, Message: Temp: 25.8 C, Hum: 64%, Send Result: 22, Length: 22"
14.300000,6,Sent Packet,"Packet: 9, Message: Temp: 26.2 C, Hum: 64%, Send Result: 22, Length: 22"
14.304832,10,Received Packet,"Size: 22"
14.304832,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
14.309472,6,Received Packet,"Size: 3"
14.500000,4,Sent Packet,"Packet: 9, Message: Temp: 20.0 C, Hum: 56%, Send Result: 22, Length: 22"
14.504192,10,Received Packet,"Size: 22"
14.504192,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
14.508512,4,Received Packet,"Size: 3"
14.600000,2,Sent Packet,"Packet: 8, Message: Temp: 25.2 C, Hum: 79%, Send Result: 22, Length: 22"
14.604832,10,Received Packet,"Size: 22"
14.604832,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
14.608512,2,Received Packet,"Size: 3"
14.900000,7,Sent Packet,"Packet: 9, Message: Temp: 25.0 C, Hum: 58%, Send Result: 22, Length: 22"
14.903552,10,Received Packet,"Size: 22"
14.903552,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
14.908512,7,Received Packet,"Size: 3"
